id_partido,liga,fecha_hora,equipo_visitante,equipo_local,abridor_visitante,abridor_local,favorito_sabermetrico,probabilidad_inicial,prob_mercado,es_valor,factor_riesgo,score_b1_pitcheo_away,score_b1_pitcheo_home,score_b2_ofensiva_away,score_b2_ofensiva_home,score_b3_bullpen_away,score_b3_bullpen_home,score_b4_eficiencia_away,score_b4_eficiencia_home,senal_moneyline,nivel_certidumbre,fip_away,xfip_away,kbb_away,fip_home,xfip_home,kbb_home,wrc_away,wrc_home,wrc_vs_rhp_away,wrc_vs_lhp_away,wrc_vs_rhp_home,wrc_vs_lhp_home,abridor_mano_away,abridor_mano_home,war_bullpen_away,war_bullpen_home,pitcheos_72h_away,pitcheos_72h_home,baseruns_diff_away,baseruns_diff_home,descripcion_analisis,resultado,probabilidad_actualizada,marcador_final,ganador_real,fecha_actualizacion
825077,MLB,2026-06-04,Los Angeles Dodgers,Arizona Diamondbacks,Shohei Ohtani,Zac Gallen,Los Angeles Dodgers,62.63%,N/D,NO,Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h),94.0,30.4,69.1,48.4,43.0,30.5,68.9,47.1,APRETA TRIGGER VISITANTE,ALTA,0.78,0.75,19.0%,4.90,4.75,9.6%,122,98,100,100,100,100,R,R,3.29,1.75,157,172,-5.7,0.9,Favorito: Los Angeles Dodgers (62.6%) [ALTA] || Score_Pitcheo: Los Angeles Dodgers=56.5 | Arizona Diamondbacks=29.6 (diff=26.9) || Pitcheo: Los Angeles Dodgers FIP=0.78/xFIP=0.75 | Arizona Diamondbacks FIP=4.90/xFIP=4.75 || wRC+: Los Angeles Dodgers=122 | Arizona Diamondbacks=98 (diff=24) || PF=97 | Bullpen WAR: Los Angeles Dodgers=3.29 Arizona Diamondbacks=1.75 | Fatiga(72h): Los Angeles Dodgers=157 Arizona Diamondbacks=172 || Riesgo: Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h),pendiente,62.63%,—,—,2026-06-03 16:45
823456,MLB,2026-06-03,San Diego Padres,Philadelphia Phillies,Walker Buehler,Cristopher Sánchez,Philadelphia Phillies,62.28%,N/D,NO,Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h),38.5,98.6,16.6,22.6,35.6,49.2,38.7,36.5,NO APOSTAR,BAJA,4.64,4.49,11.4%,1.40,1.35,23.6%,85,85,100,100,100,100,R,L,2.38,4.06,105,105,3.4,4.1,Favorito: Philadelphia Phillies (62.3%) [BAJA] || Score_Pitcheo: San Diego Padres=33.7 | Philadelphia Phillies=64.4 (diff=30.8) || Pitcheo: San Diego Padres FIP=4.64/xFIP=4.49 | Philadelphia Phillies FIP=1.40/xFIP=1.35 || wRC+: San Diego Padres=85 | Philadelphia Phillies=85 (diff=0) || PF=96 | Bullpen WAR: San Diego Padres=2.38 Philadelphia Phillies=4.06 | Fatiga(72h): San Diego Padres=105 Philadelphia Phillies=105 || Riesgo: Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h),pendiente,62.28%,—,—,2026-06-03 16:45
824917,MLB,2026-06-03,Toronto Blue Jays,Atlanta Braves,Patrick Corbin,Grant Holmes,Atlanta Braves,58.72%,N/D,NO,Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h),65.6,59.9,32.4,69.0,40.1,42.4,51.8,55.5,APRETA TRIGGER LOCAL,MEDIA,3.47,3.36,10.6%,3.75,3.63,11.6%,90,116,100,100,100,100,L,R,2.94,3.22,105,105,-0.5,-1.6,Favorito: Atlanta Braves (58.7%) [MEDIA] || Score_Pitcheo: Toronto Blue Jays=34.4 | Atlanta Braves=35.8 (diff=1.4) || Pitcheo: Toronto Blue Jays FIP=3.47/xFIP=3.36 | Atlanta Braves FIP=3.75/xFIP=3.63 || wRC+: Toronto Blue Jays=90 | Atlanta Braves=116 (diff=26) || PF=103 | Bullpen WAR: Toronto Blue Jays=2.94 Atlanta Braves=3.22 | Fatiga(72h): Toronto Blue Jays=105 Atlanta Braves=105 || Riesgo: Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h),pendiente,58.72%,—,—,2026-06-03 16:45
823130,MLB,2026-06-03,New York Mets,Seattle Mariners,Freddy Peralta,George Kirby,Seattle Mariners,57.97%,N/D,NO,Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h),71.6,65.8,17.8,43.9,29.7,35.9,57.4,58.3,NO APOSTAR,BAJA,3.37,3.27,14.3%,3.58,3.47,13.5%,85,106,100,100,100,100,R,R,1.65,2.42,172,187,-2.2,-2.5,Favorito: Seattle Mariners (58.0%) [BAJA] || Score_Pitcheo: New York Mets=42.0 | Seattle Mariners=39.9 (diff=2.0) || Pitcheo: New York Mets FIP=3.37/xFIP=3.27 | Seattle Mariners FIP=3.58/xFIP=3.47 || wRC+: New York Mets=85 | Seattle Mariners=106 (diff=21) || PF=97 | Bullpen WAR: New York Mets=1.65 Seattle Mariners=2.42 | Fatiga(72h): New York Mets=172 Seattle Mariners=187 || Riesgo: Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h),pendiente,57.97%,—,—,2026-06-03 16:45
824755,MLB,2026-06-03,Baltimore Orioles,Boston Red Sox,Chris Bassitt,Payton Tolle,Boston Red Sox,57.31%,N/D,NO,Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h),28.8,93.8,51.1,48.1,21.4,20.8,42.7,62.1,NO APOSTAR,BAJA,4.81,4.66,7.1%,2.48,2.40,20.1%,103,98,100,100,100,100,R,L,0.63,0.56,105,105,2.2,-3.6,Favorito: Boston Red Sox (57.3%) [BAJA] || Score_Pitcheo: Baltimore Orioles=24.7 | Boston Red Sox=55.3 (diff=30.6) || Pitcheo: Baltimore Orioles FIP=4.81/xFIP=4.66 | Boston Red Sox FIP=2.48/xFIP=2.40 || wRC+: Baltimore Orioles=103 | Boston Red Sox=98 (diff=5) || PF=101 | Bullpen WAR: Baltimore Orioles=0.63 Boston Red Sox=0.56 | Fatiga(72h): Baltimore Orioles=105 Boston Red Sox=105 || Riesgo: Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h),pendiente,57.31%,—,—,2026-06-03 16:45
824024,MLB,2026-06-04,Colorado Rockies,Los Angeles Angels,Michael Lorenzen,Walbert Ureña,Los Angeles Angels,56.83%,N/D,NO,Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h) | ⚠️ Señal débil (56.8% < 57.0%),14.5,83.5,45.3,40.0,25.4,21.4,48.1,56.5,APRETA TRIGGER LOCAL,MEDIA,6.86,6.64,9.5%,2.32,2.24,8.5%,90,98,100,100,100,100,R,R,1.12,0.63,157,157,0.6,-1.9,Favorito: Los Angeles Angels (56.8%) [MEDIA] || Score_Pitcheo: Colorado Rockies=25.5 | Los Angeles Angels=32.4 (diff=6.9) || Pitcheo: Colorado Rockies FIP=6.86/xFIP=6.64 | Los Angeles Angels FIP=2.32/xFIP=2.24 || wRC+: Colorado Rockies=90 | Los Angeles Angels=98 (diff=8) || PF=113 | Bullpen WAR: Colorado Rockies=1.12 Los Angeles Angels=0.63 | Fatiga(72h): Colorado Rockies=157 Los Angeles Angels=157 || Riesgo: Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h) | ⚠️ Señal débil (56.8% < 57.0%),pendiente,56.83%,—,—,2026-06-03 16:45
823540,MLB,2026-06-03,Cleveland Guardians,New York Yankees,Gavin Williams,Gerrit Cole,New York Yankees,55.55%,N/D,NO,Abridor local pocas IP (12 IP) | Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h) | ⚠️ Señal débil (55.5% < 57.0%),88.2,91.8,35.8,62.9,40.1,43.5,39.1,64.4,NO APOSTAR,BAJA,2.92,2.82,19.9%,0.00,0.00,16.8%,97,114,100,100,100,100,R,R,2.94,3.36,105,105,3.3,-4.3,Favorito: New York Yankees (55.5%) [BAJA] || Score_Pitcheo: Cleveland Guardians=54.1 | New York Yankees=53.6 (diff=0.5) || Pitcheo: Cleveland Guardians FIP=2.92/xFIP=2.82 | New York Yankees FIP=0.00/xFIP=0.00 || wRC+: Cleveland Guardians=97 | New York Yankees=114 (diff=17) || PF=98 | Bullpen WAR: Cleveland Guardians=2.94 New York Yankees=3.36 | Fatiga(72h): Cleveland Guardians=105 New York Yankees=105 || Riesgo: Abridor local pocas IP (12 IP) | Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h) | ⚠️ Señal débil (55.5% < 57.0%),pendiente,55.55%,—,—,2026-06-03 16:45
823051,MLB,2026-06-03,Texas Rangers,St. Louis Cardinals,MacKenzie Gore,Andre Pallante,Texas Rangers,55.30%,N/D,NO,Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h) | ⚠️ Señal débil (55.3% < 57.0%),62.7,53.0,54.5,42.8,26.2,24.8,56.3,39.7,APRETA TRIGGER VISITANTE,MEDIA,3.76,3.64,14.7%,3.98,3.85,10.2%,105,101,100,100,100,100,L,R,1.22,1.05,157,157,-1.9,3.1,Favorito: Texas Rangers (55.3%) [MEDIA] || Score_Pitcheo: Texas Rangers=42.0 | St. Louis Cardinals=32.6 (diff=9.4) || Pitcheo: Texas Rangers FIP=3.76/xFIP=3.64 | St. Louis Cardinals FIP=3.98/xFIP=3.85 || wRC+: Texas Rangers=105 | St. Louis Cardinals=101 (diff=4) || PF=103 | Bullpen WAR: Texas Rangers=1.22 St. Louis Cardinals=1.05 | Fatiga(72h): Texas Rangers=157 St. Louis Cardinals=157 || Riesgo: Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h) | ⚠️ Señal débil (55.3% < 57.0%),pendiente,55.30%,—,—,2026-06-03 16:45
824671,MLB,2026-06-04,Athletics,Chicago Cubs,Jeffrey Springs,Colin Rea,Chicago Cubs,54.00%,N/D,NO,Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h) | ⚠️ Señal débil (54.0% < 57.0%),59.8,43.9,33.6,59.8,36.2,17.1,41.2,51.6,NO APOSTAR,BAJA,3.87,3.74,13.2%,4.46,4.32,11.6%,96,109,100,100,100,100,L,R,2.45,0.10,105,105,2.6,-0.5,Favorito: Chicago Cubs (54.0%) [BAJA] || Score_Pitcheo: Athletics=38.8 | Chicago Cubs=34.4 (diff=4.4) || Pitcheo: Athletics FIP=3.87/xFIP=3.74 | Chicago Cubs FIP=4.46/xFIP=4.32 || wRC+: Athletics=96 | Chicago Cubs=109 (diff=13) || PF=99 | Bullpen WAR: Athletics=2.45 Chicago Cubs=0.10 | Fatiga(72h): Athletics=105 Chicago Cubs=105 || Riesgo: Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h) | ⚠️ Señal débil (54.0% < 57.0%),pendiente,54.00%,—,—,2026-06-03 16:45
823701,MLB,2026-06-03,Chicago White Sox,Minnesota Twins,Erick Fedde,Taj Bradley,Minnesota Twins,53.85%,N/D,NO,Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h) | ⚠️ Señal débil (53.9% < 57.0%),20.2,83.7,48.6,38.5,35.6,28.2,46.1,51.1,NO APOSTAR,BAJA,5.13,4.97,4.9%,3.05,2.95,18.6%,104,96,100,100,100,100,R,R,2.38,1.47,157,157,1.2,-0.3,Favorito: Minnesota Twins (53.9%) [BAJA] || Score_Pitcheo: Chicago White Sox=19.7 | Minnesota Twins=51.2 (diff=31.5) || Pitcheo: Chicago White Sox FIP=5.13/xFIP=4.97 | Minnesota Twins FIP=3.05/xFIP=2.95 || wRC+: Chicago White Sox=104 | Minnesota Twins=96 (diff=8) || PF=100 | Bullpen WAR: Chicago White Sox=2.38 Minnesota Twins=1.47 | Fatiga(72h): Chicago White Sox=157 Minnesota Twins=157 || Riesgo: Bullpen visitante fatigado (B-Ref 72h) | Bullpen local fatigado (B-Ref 72h) | ⚠️ Señal débil (53.9% < 57.0%),pendiente,53.85%,—,—,2026-06-03 16:45
